Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Εὐρίπου	*eu)ri/pou	Εὔριπος	*eu)/ripos	n-s---mg-
Εὐρίπου	*eu)ri/pou	εὔριπος	eu)/ripos	n-s---mg-
Εὐρίπῳ	*eu)ri/pw|	Εὔριπος	*eu)/ripos	n-s---md-
Εὐρίπῳ	*eu)ri/pw|	εὔριπος	eu)/ripos	n-s---md-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-d---mn-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-d---mv-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-d---ma-
Εὐρώτα	*eu)rw/ta	Εὐρώτας	*eu)rw/tas	n-s---mg-
Εὔμηλος	*eu)/mhlos	Εὔμηλος	*eu)/mhlos	n-s---mn-
Εὔμηλος	*eu)/mhlos	εὔμηλος	eu)/mhlos	n-s---mn-
Εὔμηλος	*eu)/mhlos	εὔμηλος	eu)/mhlos	n-s---fn-
Εὔριπον	*eu)/ripon	Εὔριπος	*eu)/ripos	n-s---ma-
Εὔριπον	*eu)/ripon	εὔριπος	eu)/ripos	n-s---ma-
Εὔρυτος	*eu)/rutos	Εὔρυτος	*eu)/rutos	n-s---mn-
Εὔρυτος	*eu)/rutos	εὔρυτος	eu)/rutos	n-s---mn-
Εὔρυτος	*eu)/rutos	εὔρυτος	eu)/rutos	n-s---fn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θεσσαλίᾳ	*qessali/a|	Θεσσαλία	*qessali/a	n-s---fd-
Θεσσαλίᾳ	*qessali/a|	Θεσσαλίη	*qessali/h	n-s---fd-
Θεστιάδι	*qestia/di	Θεστιάς	*qestia/s	n-s---fd-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	n-s---mn-
Θέτιδος	*qe/tidos	Θέτις	*qe/tis	n-s---fg-
Θέτιν	*qe/tin	Θέτις	*qe/tis	n-s---fa-
Θέτις	*qe/tis	Θέτις	*qe/tis	n-s---fn-
Καπανέως	*kapane/ws	Καπανεύς	*kapaneu/s	n-s---mg-
Καπανέως	*kapane/ws	Καπανεύς	*kapaneu/s	n-s---mg-
Καπανέως	*kapane/ws	Καπανεύς	*kapaneu/s	n-s---mn-
Κασάνδραν	*kasa/ndran	Κασσάνδρη	*kassa/ndrh	n-s---fa-
Κενταύρειον	*kentau/reion	Κενταύρειος	*kentau/reios	a-s---ma-
Κενταύρειον	*kentau/reion	Κενταύρειος	*kentau/reios	a-s---nn-
Κενταύρειον	*kentau/reion	Κενταύρειος	*kentau/reios	a-s---nv-
Κενταύρειον	*kentau/reion	Κενταύρειος	*kentau/reios	a-s---na-
Κενταύρων	*kentau/rwn	Κένταυροσ-πλ	*ke/ntauros-pl	n-p---mg-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fn-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fv-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-d---fa-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fn-
Κλυταιμήστρα	*klutaimh/stra	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fv-
Κλυταιμήστραν	*klutaimh/stran	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fa-
Κλυταιμήστρας	*klutaimh/stras	Κλυταιμνήστρα	*klutaimnh/stra	n-p---fa-
Κλυταιμήστρας	*klutaimh/stras	Κλυταιμνήστρα	*klutaimnh/stra	n-s---fg-
Κυκλωπίας	*kuklwpi/as	Κυκλώπιος	*kuklw/pios	a-p---fa-
Κυκλωπίας	*kuklwpi/as	Κυκλώπιος	*kuklw/pios	a-s---fg-
Κυκλωπίας	*kuklwpi/as	Κυκλώπιος	*kuklw/pios	a-p---fa-
Κυκλωπίας	*kuklwpi/as	Κυκλώπιος	*kuklw/pios	a-s---fg-
Κυκλωπίας	*kuklwpi/as	Κυκλωπία	*kuklwpi/a	n-p---fa-
Κυκλωπίας	*kuklwpi/as	Κυκλωπία	*kuklwpi/a	n-s---fg-
Κυκλωπίοις	*kuklwpi/ois	Κυκλώπιον	*kuklw/pion	n-p---nd-
Κυκλωπίοις	*kuklwpi/ois	Κυκλώπιος	*kuklw/pios	a-p---md-
Κυκλωπίοις	*kuklwpi/ois	Κυκλώπιος	*kuklw/pios	a-p---nd-
Κυκλωπίοις	*kuklwpi/ois	Κυκλώπιος	*kuklw/pios	a-p---md-
Κυκλωπίοις	*kuklwpi/ois	Κυκλώπιος	*kuklw/pios	a-p---nd-
Κυκλωπίοις	*kuklwpi/ois	κυκλώπιον	kuklw/pion	n-p---nd-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιον	*kuklw/pion	n-p---ng-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιος	*kuklw/pios	a-p---fg-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιος	*kuklw/pios	a-p---mg-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιος	*kuklw/pios	a-p---ng-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιος	*kuklw/pios	a-p---fg-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιος	*kuklw/pios	a-p---mg-
Κυκλωπίων	*kuklwpi/wn	Κυκλώπιος	*kuklw/pios	a-p---ng-
Κυκλωπίων	*kuklwpi/wn	κυκλώπιον	kuklw/pion	n-p---ng-
Κυκλώπων	*kuklw/pwn	Κύκλωψ	*ku/klwy	n-p---mg-
Κάδμος	*ka/dmos	Κάδμος	*ka/dmos	n-s---mn-
Κάλχαντι	*ka/lxanti	Κάλχας	*ka/lxas	n-s---md-
Κάλχας	*ka/lxas	Κάλχας	*ka/lxas	n-s---mn-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-p---fa-
Κάλχας	*ka/lxas	κάλχη	ka/lxh	n-s---fg-
Κύπρι	*ku/pri	Κύπρις	*ku/pris	n-s---fv-
Κύπριν	*ku/prin	Κύπρις	*ku/pris	n-s---fa-
Κύπρις	*ku/pris	Κύπρις	*ku/pris	n-s---fn-
Λακεδαίμον’	*lakedai/mon'	Λακεδαίμων	*lakedai/mwn	n-s---fa-
Λακεδαίμον’	*lakedai/mon'	Λακεδαίμων	*lakedai/mwn	n-s---fd-
Λακεδαίμον’	*lakedai/mon'	Λακεδαίμων	*lakedai/mwn	n-d---fn-
Λακεδαίμον’	*lakedai/mon'	Λακεδαίμων	*lakedai/mwn	n-d---fv-
Λακεδαίμον’	*lakedai/mon'	Λακεδαίμων	*lakedai/mwn	n-d---fa-
Λαέρτα	*lae/rta	Λαέρτης	*lae/rths	n-s---mv-
Λαέρτα	*lae/rta	Λαέρτης	*lae/rths	n-s---mg-
Λαέρτα	*lae/rta	Λαέρτης	*lae/rths	n-s---mn-
Λαέρτα	*lae/rta	Λαέρτης	*lae/rths	n-d---mn-
Λαέρτα	*lae/rta	Λαέρτης	*lae/rths	n-d---mv-
Λαέρτα	*lae/rta	Λαέρτης	*lae/rths	n-d---ma-
Λοκρᾶς	*lokra=s	Λοκρός	*lokro/s	a-s---fg-
Λυδαί	*ludai/	Λυδός	*ludo/s	a-p---fn-
Λυδαί	*ludai/	Λυδός	*ludo/s	a-p---fv-
Λήδα	*lh/da	Λήδη	*lh/dh	n-s---fn-
Λήδα	*lh/da	Λήδη	*lh/dh	n-s---fv-
Λήδα	*lh/da	λῆδος	lh=dos	n-p---nn-
Λήδα	*lh/da	λῆδος	lh=dos	n-p---nv-
Λήδα	*lh/da	λῆδος	lh=dos	n-p---na-
Λήδας	*lh/das	Λήδη	*lh/dh	n-s---fg-
Λήδᾳ	*lh/da|	Λήδη	*lh/dh	n-s---fd-
Λήιτος	*lh/itos	Λήϊτος	*lh/i+tos	n-s---mn-
Λίβυος	*li/buos	Λίβυς	*li/bus	n-s---mg-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαον	*mene/laon	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαόν	*mene/lao/n	Μενέλαος	*mene/laos	n-s---ma-
Μενέλαόν	*mene/lao/n	Μενέλαος	*mene/laos	n-s---ma-
Μενέλα’	*mene/la'	Μενέλαος	*mene/laos	n-s---md-
Μενέλα’	*mene/la'	Μενέλαος	*mene/laos	n-s---mv-
Μενέλα’	*mene/la'	Μενέλαος	*mene/laos	n-s---mv-
Μενέλεω	*mene/lew	Μενέλαος	*mene/laos	n-s---mg-
Μενέλεων	*mene/lewn	Μενέλαος	*mene/laos	n-s---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	n-p---ma-
Μενέλεως	*mene/lews	Μενέλαος	*mene/laos	n-s---mn-
Μενέλεώς	*mene/lew/s	Μενέλαος	*mene/laos	n-p---ma-
Μενέλεώς	*mene/lew/s	Μενέλαος	*mene/laos	n-s---mn-
Μηκιστέως	*mhkiste/ws	Μηκιστεύς	*mhkisteu/s	n-s---mg-
Μηκιστέως	*mhkiste/ws	Μηκιστεύς	*mhkisteu/s	n-s---mg-
Μηκιστέως	*mhkiste/ws	Μηκιστεύς	*mhkisteu/s	n-s---mn-
Μηριόνην	*mhrio/nhn	Μηριόνης	*mhrio/nhs	n-s---ma-
Μυκηναῖαί	*mukhnai=ai/	Μυκηναῖος	*mukhnai=os	a-p---fn-
Μυκηναῖαί	*mukhnai=ai/	Μυκηναῖος	*mukhnai=os	a-p---fv-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	n-p---fa-
Μυκήνας	*mukh/nas	Μυκήνη	*mukh/nh	n-s---fg-
Μυρμιδόνας	*murmido/nas	Μυρμιδών	*murmidw/n	n-p---ma-
Μυρμιδόνων	*murmido/nwn	Μυρμιδών	*murmidw/n	n-p---mg-
Μυρμιδών	*murmidw/n	Μυρμιδών	*murmidw/n	n-s---mn-
Μυρμιδών	*murmidw/n	Μυρμιδών	*murmidw/n	n-s---mv-
Μέγης	*me/ghs	Μέγης	*me/ghs	n-s---mn-
Μέγης	*me/ghs	Μέγης	*me/ghs	n-s---mn-
Νηρηί	*nhrhi/	Νηρηίς	*nhrhi/s	n-s---fv-
Νηρηί	*nhrhi/	Νηρηίς	*nhrhi/s	n-s---fv-
Νηρηίδος	*nhrhi/dos	Νηρηίς	*nhrhi/s	n-s---fg-
Νηρηίδος	*nhrhi/dos	Νηρηίς	*nhrhi/s	n-s---fg-
Νηρέα	*nhre/a	Νηρεύς	*nhreu/s	n-s---ma-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	n-s---mg-
Νηρέως	*nhre/ws	Νηρεύς	*nhreu/s	n-s---mn-
Νηρῄδων	*nhrh/|dwn	Νηρηίς	*nhrhi/s	n-p---fg-
Νηρῇδες	*nhrh=|des	Νηρηίς	*nhrhi/s	n-p---fn-
Νηρῇδες	*nhrh=|des	Νηρηίς	*nhrhi/s	n-p---fv-
Νηρῇδος	*nhrh=|dos	Νηρηίς	*nhrhi/s	n-s---fg-
Νιρέα	*nire/a	Νιρεύς	*nireu/s	n-s---ma-
Νυμφᾶν	*numfa=n	Νύμφαι	*nu/mfai	n-p---fg-
Νυμφᾶν	*numfa=n	νύμφη	nu/mfh	n-p---fg-
Νέστορος	*ne/storos	Νέστωρ	*ne/stwr	n-s---mg-
Οἰλέως	*oi)le/ws	Οἰλεύς	*oi)leu/s	n-s---mg-
Οἰλέως	*oi)le/ws	Οἰλεύς	*oi)leu/s	n-s---mg-
Οἰλέως	*oi)le/ws	Οἰλεύς	*oi)leu/s	n-s---mn-
Οἰνώνης	*oi)nw/nhs	Οἰνώνη	*oi)nw/nh	n-s---fg-
Οἰνώνης	*oi)nw/nhs	οἰνώνης	oi)nw/nhs	n-s---mn-
Παλαμήδεά	*palamh/dea/	Παλαμήδης	*palamh/dhs	n-s---ma-
Παλλάδι	*palla/di	Παλλάς	*palla/s	n-s---fd-
Παλλάδ’	*palla/d'	Παλλάς	*palla/s	n-s---fa-
Παλλάδ’	*palla/d'	Παλλάς	*palla/s	n-s---fd-
Παλλάδ’	*palla/d'	Παλλάς	*palla/s	n-d---fn-
Παλλάδ’	*palla/d'	Παλλάς	*palla/s	n-d---fv-
Παλλάδ’	*palla/d'	Παλλάς	*palla/s	n-d---fa-
Παλλάς	*palla/s	Παλλάς	*palla/s	n-s---fn-
Πανελλήνων	*panellh/nwn	Πανέλληνες	*pane/llhnes	n-p---mg-
Πελασγία	*pelasgi/a	Πελασγίη	*pelasgi/h	n-d---fn-
Πελασγία	*pelasgi/a	Πελασγίη	*pelasgi/h	n-d---fv-
Πελασγία	*pelasgi/a	Πελασγίη	*pelasgi/h	n-d---fa-
Πελασγία	*pelasgi/a	Πελασγίη	*pelasgi/h	n-s---fn-
Πελασγία	*pelasgi/a	Πελασγίη	*pelasgi/h	n-s---fv-
Πελασγία	*pelasgi/a	Πελασγικός	*pelasgiko/s	a-d---fn-
Πελασγία	*pelasgi/a	Πελασγικός	*pelasgiko/s	a-d---fv-
Πελασγία	*pelasgi/a	Πελασγικός	*pelasgiko/s	a-d---fa-
Πελασγία	*pelasgi/a	Πελασγικός	*pelasgiko/s	a-s---fn-
Πελασγία	*pelasgi/a	Πελασγικός	*pelasgiko/s	a-s---fv-
Περσέως	*perse/ws	Περσεύς	*perseu/s	n-s---mg-
Περσέως	*perse/ws	Περσεύς	*perseu/s	n-s---mg-
Περσέως	*perse/ws	Περσεύς	*perseu/s	n-s---mn-
Πηλεύς	*phleu/s	Πηλεύς	*phleu/s	n-s---mn-
Πηλεΐδας	*phlei+/das	Πηλείδης	*phlei/dhs	n-s---mn-
Πηλεΐδας	*phlei+/das	Πηλεύς	*phleu/s	n-p---ma-
Πηλεΐδας	*phlei+/das	Πηλεύς	*phleu/s	n-s---mn-
Πηλεΐδας	*phlei+/das	Πηλεύς	*phleu/s	n-p---ma-
Πηλεΐδας	*phlei+/das	Πηλεύς	*phleu/s	n-s---mn-
Πηλιάδα	*phlia/da	Πηλεύς	*phleu/s	n-d---mn-
Πηλιάδα	*phlia/da	Πηλεύς	*phleu/s	n-d---mv-
Πηλιάδα	*phlia/da	Πηλεύς	*phleu/s	n-d---ma-
Πηλιάδα	*phlia/da	Πηλεύς	*phleu/s	n-s---mv-
Πηλιάδα	*phlia/da	Πηλεύς	*phleu/s	n-s---mg-
Πηλιάδα	*phlia/da	Πηλεύς	*phleu/s	n-s---mn-
Πηλιάδα	*phlia/da	Πηλίας	*phli/as	n-s---fa-
Πηλιάδα	*phlia/da	Πηλιάς	*phlia/s	n-s---fa-
Πηλέα	*phle/a	Πηλεύς	*phleu/s	n-s---ma-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mn-
Πηλίου	*phli/ou	Πήλιον	*ph/lion	n-s---ng-
Πιερίδες	*pieri/des	Πιερίδες	*pieri/des	n-p---mn-
Πιερίδες	*pieri/des	Πιερίδες	*pieri/des	n-p---mv-
Πιερίδες	*pieri/des	Πιερίδες	*pieri/des	n-p---fn-
Πιερίδες	*pieri/des	Πιερίδες	*pieri/des	n-p---fv-
Πιερίδες	*pieri/des	Πιερίς	*pieri/s	n-p---fn-
Πιερίδες	*pieri/des	Πιερίς	*pieri/s	n-p---fv-
Πιερίσιν	*pieri/sin	Πιερίδες	*pieri/des	n-p---md-
Πιερίσιν	*pieri/sin	Πιερίδες	*pieri/des	n-p---fd-
Πιερίσιν	*pieri/sin	Πιερίς	*pieri/s	n-p---fd-
Πλειάδος	*pleia/dos	Πλειάς	*pleia/s	n-s---fg-
Πριάμοιο	*pria/moio	Πρίαμος	*pri/amos	n-s---mg-
Πριάμου	*pria/mou	Πρίαμος	*pri/amos	n-s---mg-
Πρωτεσίλαόν	*prwtesi/lao/n	Πρωτεσίλαος	*prwtesi/laos	n-s---ma-
Πρίαμος	*pri/amos	Πρίαμος	*pri/amos	n-s---mn-
Πάριν	*pa/rin	Πάρις	*pa/ris	n-s---ma-
Πάριν	*pa/rin	πάρειμι2	pa/reimi2	v3piia---
Πάρις	*pa/ris	Πάρις	*pa/ris	n-s---mn-
Πέλοπα	*pe/lopa	Πέλοψ	*pe/loy	n-s---ma-
Πέλοπος	*pe/lopos	Πέλοψ	*pe/loy	n-s---mg-
Πέργαμον	*pe/rgamon	Πέργαμον	*pe/rgamon	n-s---nn-
Πέργαμον	*pe/rgamon	Πέργαμον	*pe/rgamon	n-s---nv-
Πέργαμον	*pe/rgamon	Πέργαμον	*pe/rgamon	n-s---na-
Πέργαμον	*pe/rgamon	Πέργαμος	*pe/rgamos	n-s---fa-
Πήλιον	*ph/lion	Πήλιον	*ph/lion	n-s---nn-
Πήλιον	*ph/lion	Πήλιον	*ph/lion	n-s---nv-
Πήλιον	*ph/lion	Πήλιον	*ph/lion	n-s---na-
Πύλου	*pu/lou	Πύλης	*pu/lhs	n-s---mg-
Πύλου	*pu/lou	Πύλος	*pu/los	n-s---mg-
Πύλου	*pu/lou	Πύλος	*pu/los	n-s---fg-
Πύλου	*pu/lou	πύλος	pu/los	n-s---mg-
Πύλου	*pu/lou	πυλόω	pulo/w	v2spma---
Πύλου	*pu/lou	πυλόω	pulo/w	v3siia---
Σαλαμῖνος	*salami=nos	Σαλαμίς	*salami/s	n-s---fg-
Σείριος	*sei/rios	Σείριος	*sei/rios	n-s---mn-
Σείριος	*sei/rios	σείριος	sei/rios	n-s---mn-
Σθένελος	*sqe/nelos	Σθένελος	*sqe/nelos	n-s---mn-
Σιμουντίοις	*simounti/ois	Σιμόεις	*simo/eis	n-p---md-
Σιμουντίοις	*simounti/ois	Σιμόεις	*simo/eis	n-p---fd-
Σιμουντίοις	*simounti/ois	Σιμόεις	*simo/eis	n-p---nd-
Σιμουντίοις	*simounti/ois	Σιμούντιος	*simou/ntios	a-p---md-
Σιμουντίοις	*simounti/ois	Σιμούντιος	*simou/ntios	a-p---nd-
Σιμόεντα	*simo/enta	Σιμόεις	*simo/eis	n-s---ma-
Σισύφειον	*sisu/feion	Σισύφειον	*sisu/feion	n-s---nn-
Σισύφειον	*sisu/feion	Σισύφειον	*sisu/feion	n-s---nv-
Σισύφειον	*sisu/feion	Σισύφειον	*sisu/feion	n-s---na-
Σισύφειον	*sisu/feion	Σισύφειος	*sisu/feios	a-s---ma-
Σισύφειον	*sisu/feion	Σισύφειος	*sisu/feios	a-s---nn-
Σισύφειον	*sisu/feion	Σισύφειος	*sisu/feios	a-s---nv-
Σισύφειον	*sisu/feion	Σισύφειος	*sisu/feios	a-s---na-
Σισύφου	*sisu/fou	Σίσυφος	*si/sufos	n-s---mg-
Σπάρτῃ	*spa/rth|	Σπάρτη	*spa/rth	n-s---fd-
Σπάρτῃ	*spa/rth|	σπάρτη	spa/rth	n-s---fd-
Σίπυλος	*si/pulos	Σίπυλος	*si/pulos	n-s---fn-
Ταλαός	*talao/s	Ταλαός	*talao/s	n-s---mn-
Ταλαός	*talao/s	ταλαός	talao/s	a-s---mn-
Ταλθύβιον	*talqu/bion	Ταλθύβιος	*talqu/bios	n-s---ma-
Ταλθύβιος	*talqu/bios	Ταλθύβιος	*talqu/bios	n-s---mn-
Ταντάλῳ	*tanta/lw|	Τάνταλος	*ta/ntalos	n-s---md-
Τελαμῶνός	*telamw=no/s	Τελαμών	*telamw/n	n-s---mg-
Τελαμῶνός	*telamw=no/s	τελαμών	telamw/n	n-s---mg-
Τελαμῶνός	*telamw=no/s	τελαμών	telamw/n	n-s---fg-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίηθεν	*troi/hqen	Τροίαθεν	*troi/aqen	d--------
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τρῶες	*trw=es	Τρώς	*trw/s	n-p---mn-
Τρῶες	*trw=es	Τρώς	*trw/s	n-p---mv-
Τυνδαρεία	*tundarei/a	Τυνδάρειος	*tunda/reios	a-d---fn-
Τυνδαρεία	*tundarei/a	Τυνδάρειος	*tunda/reios	a-d---fv-
Τυνδαρεία	*tundarei/a	Τυνδάρειος	*tunda/reios	a-d---fa-
Τυνδαρεία	*tundarei/a	Τυνδάρειος	*tunda/reios	a-s---fn-
Τυνδαρεία	*tundarei/a	Τυνδάρειος	*tunda/reios	a-s---fv-
Τυνδαρίς	*tundari/s	Τυνδάρεως	*tunda/rews	n-s---fn-
Τυνδαρίς	*tundari/s	Τυνδαρίς	*tundari/s	n-s---fn-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---ma-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---nn-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---nv-
Τυνδάρειον	*tunda/reion	Τυνδάρειος	*tunda/reios	a-s---na-
Τυνδάρεω	*tunda/rew	Τυνδάρεως	*tunda/rews	n-s---mg-
Τυνδάρεω	*tunda/rew	Τυνδάρης	*tunda/rhs	n-s---mg-
Τυνδάρεως	*tunda/rews	Τυνδάρεως	*tunda/rews	n-p---ma-
Τυνδάρεως	*tunda/rews	Τυνδάρεως	*tunda/rews	n-s---mn-
Τυνδάρεώς	*tunda/rew/s	Τυνδάρεως	*tunda/rews	n-p---ma-
Τυνδάρεώς	*tunda/rew/s	Τυνδάρεως	*tunda/rews	n-s---mn-
