Αἰακοῦ	*ai)ako/s	none-found	n-s---mg-
Νύμφα	*nu/mfai	none-found	n-s---fn-
Νύμφα	*nu/mfai	none-found	n-s---fv-
Νύμφα	*nu/mfhs	none-found	n-s---mv-
Νύμφα	*nu/mfhs	none-found	n-s---mg-
Νύμφα	*nu/mfhs	none-found	n-s---mn-
Οἰνομάῳ	*oi)no/maos	none-found	n-s---md-
Πελοπιδῶν	*pelopi/dhs	none-found	n-p---mg-
Πελοπίδαι	*pelopi/dhs	none-found	n-s---md-
Περσείων	*persei=os	none-found	a-p---fg-
Περσείων	*persei=os	none-found	a-p---mg-
Περσείων	*persei=os	none-found	a-p---ng-
Πλειάδας	*pleia/s	none-found	n-p---fa-
Πριαμίδαις	*priami/dhs	none-found	n-p---md-
Πριαμίδαισιν	*priami/dhs	none-found	n-p---md-
Πριαμίδας	*priami/dhs	none-found	n-p---ma-
Πριαμίδας	*priami/dhs	none-found	n-s---mn-
Πριαμίδας	*priami/s	none-found	n-p---fa-
Πριαμίδας	*priamiko/s	none-found	n-p---fa-
Πριαμίδος	*priami/s	none-found	n-s---fg-
Πριαμίδος	*priamiko/s	none-found	n-s---fg-
Πριαμίδᾳ	*priami/dhs	none-found	n-p---mn-
Πριαμίδᾳ	*priami/dhs	none-found	n-p---mv-
Πριαμίδᾳ	*priami/dhs	none-found	n-s---md-
Πάριν	*pa/ris	none-found	n-s---ma-
Πάρις	*pa/ris	none-found	n-s---mn-
Σιδωνιάς	*sidw/nios	none-found	n-s---fn-
Σιδωνιάς	*sidwnia/s	none-found	n-s---fn-
Σιδωνίαν	*sidw/nios	none-found	a-s---fa-
Σιμουντίοις	*simou/ntios	none-found	a-p---md-
Σιμουντίοις	*simou/ntios	none-found	a-p---nd-
Σκαμανδρίοις	*skama/ndrios	none-found	n-p---md-
Σκαμανδρίοις	*skama/ndrios	none-found	n-p---fd-
Σκαμανδρίοις	*skama/ndrios	none-found	n-p---nd-
Σκαμάνδριον	*skama/ndrios	none-found	n-s---ma-
Σκαμάνδριον	*skama/ndrios	none-found	n-s---fa-
Σκαμάνδριον	*skama/ndrios	none-found	n-s---nn-
Σκαμάνδριον	*skama/ndrios	none-found	n-s---nv-
Σκαμάνδριον	*skama/ndrios	none-found	n-s---na-
Σπαρτιᾶτιν	spartia=tis	none-found	n-s---fa-
Τεῦκρος	*teu=kros	none-found	n-s---mn-
Τυνδαρίδαι	*tundari/dhs	none-found	n-p---mn-
Τυνδαρίδαι	*tundari/dhs	none-found	n-p---mv-
Τυνδαρίδαι	*tundari/dhs	none-found	n-s---md-
Τυνδαρίς	*tunda/rews	none-found	n-s---fn-
Τυνδαρίς	*tundari/s	none-found	n-s---fn-
Τυνδάρειοι	*tunda/reios	none-found	a-p---mn-
Τυνδάρειοι	*tunda/reios	none-found	a-p---mv-
Τυνδάρειον	*tunda/reios	none-found	a-s---ma-
Τυνδάρειον	*tunda/reios	none-found	a-s---nn-
Τυνδάρειον	*tunda/reios	none-found	a-s---nv-
Τυνδάρειον	*tunda/reios	none-found	a-s---na-
Τυνδάρεως	*tunda/rews	none-found	n-p---ma-
Τυνδάρεως	*tunda/rews	none-found	n-s---mn-
Χαλκίοικον	*xalki/oikon	none-found	n-s---nn-
Χαλκίοικον	*xalki/oikon	none-found	n-s---nv-
Χαλκίοικον	*xalki/oikon	none-found	n-s---na-
Ψαμάθην	*yama/qh	none-found	n-s---fa-
βαρβάρου	barbaro/w	none-found	v2spma---
βαρβάρου	barbaro/w	none-found	v3siia---
βαρβάρους	barbaro/w	none-found	v2siia---
βαρβάρων	barbaro/w	none-found	v3piia---
βαρβάρων	barbaro/w	none-found	v1siia---
βοᾷ	boei/h	none-found	n-s---fd-
βοῆς	boei/h	none-found	n-s---fg-
γραῖα	grai=os	none-found	a-p---nn-
γραῖα	grai=os	none-found	a-p---nv-
γραῖα	grai=os	none-found	a-p---na-
δοκῶ	doko/n	none-found	n-s---ng-
δοκῶν	doko/n	none-found	n-p---ng-
δούλη	dou/lh	none-found	n-s---fn-
δούλη	dou/lh	none-found	n-s---fv-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
εὔνουν	eu)/nous	none-found	n-s---ma-
εὔνουν	eu)/nous	none-found	n-s---fa-
εὔνουν	eu)/nous	none-found	n-s---nn-
εὔνουν	eu)/nous	none-found	n-s---nv-
εὔνουν	eu)/nous	none-found	n-s---na-
εὔνους	eu)/nous	none-found	n-p---mn-
εὔνους	eu)/nous	none-found	n-p---fn-
εὔνους	eu)/nous	none-found	n-s---mn-
εὔνους	eu)/nous	none-found	n-s---mv-
εὔνους	eu)/nous	none-found	n-s---fn-
εὔνους	eu)/nous	none-found	n-s---fv-
θανεῖν	qnh/skw	none-found	v--ana---
θανεῖσθαι	qnh/skw	none-found	v--fnm---
θανεῖται	qnh/skw	none-found	v3sfim---
θανούμεθ’	qnh/skw	none-found	v1pfim---
θανοῦσα	qnh/skw	none-found	v-sapafn-
θανοῦσα	qnh/skw	none-found	v-sapafv-
θανοῦσιν	qnh/skw	none-found	v-papamd-
θανοῦσιν	qnh/skw	none-found	v-papand-
θανόνθ’	qnh/skw	none-found	v-papann-
θανόνθ’	qnh/skw	none-found	v-papanv-
θανόνθ’	qnh/skw	none-found	v-papana-
θανόνθ’	qnh/skw	none-found	v-sapama-
θανόνθ’	qnh/skw	none-found	v-sapamd-
θανόνθ’	qnh/skw	none-found	v-sapand-
θανόνθ’	qnh/skw	none-found	v-dapamn-
θανόνθ’	qnh/skw	none-found	v-dapamv-
θανόνθ’	qnh/skw	none-found	v-dapama-
θανόνθ’	qnh/skw	none-found	v-dapann-
θανόνθ’	qnh/skw	none-found	v-dapanv-
θανόνθ’	qnh/skw	none-found	v-dapana-
θανόντα	qnh/skw	none-found	v-papann-
θανόντα	qnh/skw	none-found	v-papanv-
θανόντα	qnh/skw	none-found	v-papana-
θανόντα	qnh/skw	none-found	v-sapama-
θανόντας	qnh/skw	none-found	v-papama-
θανόντι	qnh/skw	none-found	v-sapamd-
θανόντι	qnh/skw	none-found	v-sapand-
θανόντος	qnh/skw	none-found	v-sapamg-
θανόντος	qnh/skw	none-found	v-sapang-
θανόντων	qnh/skw	none-found	v-papamg-
θανόντων	qnh/skw	none-found	v-papang-
θανόντων	qnh/skw	none-found	v3pama---
θανών	qnh/skw	none-found	v-sapamn-
θανῇ	qnh/skw	none-found	v2sfim---
θνῄσκοιμεν	qnh/skw	none-found	v1ppoa---
θάνοιμ’	qnh/skw	none-found	v1saoa---
θάνῃ	qnh/skw	none-found	v2sase---
θάνῃ	qnh/skw	none-found	v3sasa---
καθέζετ’	kata/-e(/zomai	none-found	v3saim---
καθέζετ’	kata/-e(/zomai	none-found	v3siie---
καθέζετ’	kata/-e(/zomai	none-found	v3spie---
καθέζετ’	kata/-kaqe/zomai	none-found	v3spim---
καθέζετ’	kata/-kaqe/zomai	none-found	v3siim---
κακῶν	kaka/zw	none-found	v-sfpamv-
κακῶν	kaka/zw	none-found	v-sfpann-
κακῶν	kaka/zw	none-found	v-sfpanv-
κακῶν	kaka/zw	none-found	v-sfpana-
κακῶν	kaka/zw	none-found	v-sfpamn-
καταιδοῦ	kataide/w	none-found	v2spme---
καταιδοῦ	kataide/w	none-found	v2siie---
καταμπίσχουσιν	a)mfi/-i)/sxw	none-found	v-pppamd-
καταμπίσχουσιν	a)mfi/-i)/sxw	none-found	v-pppand-
καταμπίσχουσιν	a)mfi/-i)/sxw	none-found	v3ppia---
κατθανεῖν	kataqnh/skw	none-found	v--ana---
κατθανόντα	kataqnh/skw	none-found	v-papann-
κατθανόντα	kataqnh/skw	none-found	v-papanv-
κατθανόντα	kataqnh/skw	none-found	v-papana-
κατθανόντα	kataqnh/skw	none-found	v-sapama-
κατθανόντι	kataqnh/skw	none-found	v-sapamd-
κατθανόντι	kataqnh/skw	none-found	v-sapand-
κατθανόντων	kataqnh/skw	none-found	v-papamg-
κατθανόντων	kataqnh/skw	none-found	v-papang-
κατθανόντων	kataqnh/skw	none-found	v3pama---
κατθανόντ’	kataqnh/skw	none-found	v-papann-
κατθανόντ’	kataqnh/skw	none-found	v-papanv-
κατθανόντ’	kataqnh/skw	none-found	v-papana-
κατθανόντ’	kataqnh/skw	none-found	v-sapama-
κατθανόντ’	kataqnh/skw	none-found	v-sapamd-
κατθανόντ’	kataqnh/skw	none-found	v-sapand-
κατθανόντ’	kataqnh/skw	none-found	v-dapamn-
κατθανόντ’	kataqnh/skw	none-found	v-dapamv-
κατθανόντ’	kataqnh/skw	none-found	v-dapama-
κατθανόντ’	kataqnh/skw	none-found	v-dapann-
κατθανόντ’	kataqnh/skw	none-found	v-dapanv-
κατθανόντ’	kataqnh/skw	none-found	v-dapana-
κατθανών	kataqnh/skw	none-found	v-sapamn-
κατθανῇ	kataqnh/skw	none-found	v2sfim---
καίτοι	kai/toi	none-found	g--------
κυανόχροά	kuano/xrous	none-found	n-p---nn-
κυανόχροά	kuano/xrous	none-found	n-p---nv-
κυανόχροά	kuano/xrous	none-found	n-p---na-
κἀπολάζυσθαι	a)po/-la/zomai	none-found	v--pnm---
κάλλιστα	ka/llista	none-found	d--------
κάτω	kato/w	none-found	v2spma---
κάτω	kato/w	none-found	v3siia---
λίσσομαί	li/zw	none-found	v1sasm---
λίσσομαί	li/zw	none-found	v1sfim---
μαντευόμεθα	manteu/w	none-found	v1ppie---
μαντευόμεθα	manteu/w	none-found	v1piie---
μορφᾷ	morfa/w	none-found	v2spse---
μορφᾷ	morfa/w	none-found	v2spie---
μορφᾷ	morfa/w	none-found	v3spsa---
μορφᾷ	morfa/w	none-found	v3spia---
μορφῆς	morfa/w	none-found	v2spia---
μορφῆς	morfa/w	none-found	v2spia---
μοῦσαν	*mou=sai	none-found	n-s---fa-
μάλιστα	ma/lista	none-found	d--------
μάλιστά	ma/lista	none-found	d--------
μάλιστ’	ma/lista	none-found	d--------
ναυτικῶν	nautiko/n	none-found	n-p---ng-
νεανιᾶν	neani/hs	none-found	n-p---mg-
νεανία	neani/hs	none-found	n-d---mn-
νεανία	neani/hs	none-found	n-d---mv-
νεανία	neani/hs	none-found	n-d---ma-
νεανία	neani/hs	none-found	n-s---mv-
νεανία	neani/hs	none-found	n-s---mv-
νεανία	neani/hs	none-found	n-s---mg-
νεανία	neani/hs	none-found	n-s---mn-
νεανίαις	neani/hs	none-found	n-p---md-
νοσφίσας	nosfi/zomai	none-found	v-sapamn-
νοσφίσας	nosfi/zomai	none-found	v-sapamv-
νώτοις	nw=tos	none-found	n-p---md-
νώτοισι	nw=tos	none-found	n-p---md-
νώτῳ	nw=tos	none-found	n-s---md-
ξυνθάνοιμ’	sunqnh/skw	none-found	v1saoa---
οὔθ’	ou)/ti	none-found	d--------
οὔτ’	ou)/ti	none-found	d--------
πεπρωμένοισιν	po/rw	none-found	v-prpemd-
πεπρωμένοισιν	po/rw	none-found	v-prpend-
πεπρωμένου	po/rw	none-found	v-srpemg-
πεπρωμένου	po/rw	none-found	v-srpeng-
πετάσατ’	peta/zw	none-found	v2pama---
πετάσατ’	peta/zw	none-found	v3saim---
πετάσατ’	peta/zw	none-found	v2paia---
πιθοῦ	piqe/w	none-found	v2spme---
πλάτας	pla/ths	none-found	n-p---ma-
πλάτας	pla/ths	none-found	n-s---mn-
πλάτην	pla/ths	none-found	n-s---ma-
πλάτης	pla/ths	none-found	n-s---mn-
πλάτᾳ	pla/ths	none-found	n-p---mn-
πλάτᾳ	pla/ths	none-found	n-p---mv-
πλάτᾳ	pla/ths	none-found	n-s---md-
ποιναθεῖσ’	poina/w	none-found	v-sappfn-
ποιναθεῖσ’	poina/w	none-found	v-sappfv-
ποιναθεῖσ’	poina/w	none-found	v-pappmd-
ποιναθεῖσ’	poina/w	none-found	v-pappnd-
ποιναθεῖσ’	poina/w	none-found	v-pappfn-
ποιναθεῖσ’	poina/w	none-found	v-pappfv-
πονεῖ	pone/omai	none-found	v2spie---
πριαμένη	pri/amai	none-found	v-sppmfn-
πριαμένη	pri/amai	none-found	v-sppmfv-
πρωτόπλουν	prwto/plous	none-found	n-s---ma-
πρωτόπλουν	prwto/plous	none-found	n-s---fa-
πρωτόπλουν	prwto/plous	none-found	n-s---nn-
πρωτόπλουν	prwto/plous	none-found	n-s---nv-
πρωτόπλουν	prwto/plous	none-found	n-s---na-
πάρεργον	pa/rergon	none-found	n-s---nn-
πάρεργον	pa/rergon	none-found	n-s---nv-
πάρεργον	pa/rergon	none-found	n-s---na-
πάτραν	pa/trh	none-found	n-s---fa-
πάτρας	pa/trh	none-found	n-p---fa-
πάτρας	pa/trh	none-found	n-s---fg-
πέργαμα	peri/-game/w	none-found	v1saia---
πέταλα	pe/talos	none-found	a-p---nn-
πέταλα	pe/talos	none-found	a-p---nv-
πέταλα	pe/talos	none-found	a-p---na-
πόρον	po/rw	none-found	v3paia---
πόρον	po/rw	none-found	v1saia---
σεσῳσμένην	sw/zw	none-found	v-srpefa-
σεσῳσμένον	sw/zw	none-found	v-srpema-
σεσῳσμένον	sw/zw	none-found	v-srpenn-
σεσῳσμένον	sw/zw	none-found	v-srpenv-
σεσῳσμένον	sw/zw	none-found	v-srpena-
σεσῴσμεθα	sw/zw	none-found	v1prie---
σεσῴσμεθα	sw/zw	none-found	v1plie---
σιγητέον	sighte/os	none-found	n-s---ma-
σιγητέον	sighte/os	none-found	n-s---fa-
σιγητέον	sighte/os	none-found	n-s---nn-
σιγητέον	sighte/os	none-found	n-s---nv-
σιγητέον	sighte/os	none-found	n-s---na-
σοῖς	se/w	none-found	v2spoa---
σοῖσιν	se/w	none-found	v-pppamd-
σοῖσιν	se/w	none-found	v-pppand-
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
στρατῷ	strata/w%	none-found	v3spoa---
σχεῖν	sxa/w	none-found	v--pna---
σχήσων	sxa/w	none-found	v-sfpamn-
σωθείς	sw/zw	none-found	v-sappmn-
σωθείς	sw/zw	none-found	v-sappmv-
σωθεῖμεν	sw/zw	none-found	v1paop---
σωθησόμεσθα	sw/zw	none-found	v1pfip---
σωθέντες	sw/zw	none-found	v-pappmn-
σωθέντες	sw/zw	none-found	v-pappmv-
σωθέντ’	sw/zw	none-found	v-pappnn-
σωθέντ’	sw/zw	none-found	v-pappnv-
σωθέντ’	sw/zw	none-found	v-pappna-
σωθέντ’	sw/zw	none-found	v-sappma-
σωθέντ’	sw/zw	none-found	v-sappmd-
σωθέντ’	sw/zw	none-found	v-sappnd-
σωθέντ’	sw/zw	none-found	v-dappmn-
σωθέντ’	sw/zw	none-found	v-dappmv-
σωθέντ’	sw/zw	none-found	v-dappma-
σωθέντ’	sw/zw	none-found	v-dappnn-
σωθέντ’	sw/zw	none-found	v-dappnv-
σωθέντ’	sw/zw	none-found	v-dappna-
σωθήσεται	sw/zw	none-found	v3sfip---
σωθῇ	sw/zw	none-found	v3sasp---
σωθῶμεν	sw/zw	none-found	v1pasp---
σάν	sa/n	none-found	x--------
σέβει	se/bos	none-found	n-d---nn-
σέβει	se/bos	none-found	n-d---nv-
σέβει	se/bos	none-found	n-d---na-
σέβει	se/bos	none-found	n-s---nd-
σέβει	se/bos	none-found	n-s---nd-
σέβει	se/bw	none-found	v3spia---
σέβειν	se/bw	none-found	v--pna---
σέβων	se/bw	none-found	v-sppamn-
σύμμειξον	summi/gnumi	none-found	v2sama---
σύμπλους	su/mplous	none-found	n-p---mn-
σύμπλους	su/mplous	none-found	n-p---fn-
σύμπλους	su/mplous	none-found	n-s---mn-
σύμπλους	su/mplous	none-found	n-s---mv-
σύμπλους	su/mplous	none-found	n-s---fn-
σύμπλους	su/mplous	none-found	n-s---fv-
σώσατέ	sw/zw	none-found	v2pama---
σώσατέ	sw/zw	none-found	v2paia---
σώσεις	sw/zw	none-found	v2sasa---
σώσεις	sw/zw	none-found	v2sfia---
σώσω	sw/zw	none-found	v1sasa---
σώσω	sw/zw	none-found	v1sfia---
σώσω	sw/zw	none-found	v2saim---
σῆς	se/w	none-found	v2spia---
σῆς	se/w	none-found	v2siia---
σῴζειν	sw/zw	none-found	v--pna---
σῴζεται	sw/zw	none-found	v3spie---
σῴζοντες	sw/zw	none-found	v-pppamn-
σῴζοντες	sw/zw	none-found	v-pppamv-
σῴζουσί	sw/zw	none-found	v-pppamd-
σῴζουσί	sw/zw	none-found	v-pppand-
σῴζουσί	sw/zw	none-found	v3ppia---
σῴσαιμι	sw/zw	none-found	v1saoa---
σῴσασα	sw/zw	none-found	v-sapafn-
σῴσασα	sw/zw	none-found	v-sapafv-
σῶμ’	se/w	none-found	v1spsa---
σῶμ’	se/w	none-found	v1spse---
σῶν	se/w	none-found	v-sppamn-
σῷσαι	sw/zw	none-found	v2samm---
σῷσαι	sw/zw	none-found	v--ana---
σῷσον	sw/zw	none-found	v2sama---
ταὐτῷ	tau)ta/zw	none-found	v3sfoa---
ταύτῃ	tau/th|	none-found	d--------
τεθνηκότα	qnh/skw	none-found	v-prpann-
τεθνηκότα	qnh/skw	none-found	v-prpanv-
τεθνηκότα	qnh/skw	none-found	v-prpana-
τεθνηκότα	qnh/skw	none-found	v-srpama-
τεθνηκότι	qnh/skw	none-found	v-srpamd-
τεθνηκότι	qnh/skw	none-found	v-srpand-
τεθνηκότος	qnh/skw	none-found	v-srpamg-
τεθνηκότος	qnh/skw	none-found	v-srpang-
τεθνᾶσι	qnh/skw	none-found	v3pria---
τοὔργον	e)/rgnumi	none-found	v-sppamv-
τοὔργον	e)/rgnumi	none-found	v-sppann-
τοὔργον	e)/rgnumi	none-found	v-sppanv-
τοὔργον	e)/rgnumi	none-found	v-sppana-
τάχιστα	ta/xistos	none-found	a-p---nn-
τάχιστα	ta/xistos	none-found	a-p---nv-
τάχιστα	ta/xistos	none-found	a-p---na-
τέθνηκα	qnh/skw	none-found	v1sria---
τέθνηκεν	qnh/skw	none-found	v3sria---
τέθνηκεν	qnh/skw	none-found	v3plia---
τέθνηκέ	qnh/skw	none-found	v2srma---
τέθνηκέ	qnh/skw	none-found	v3sria---
τῇδε	th=|de	none-found	d--------
τῇδ’	th=|de	none-found	d--------
φευκτέον	feukte/os	none-found	n-s---ma-
φευκτέον	feukte/os	none-found	n-s---fa-
φευκτέον	feukte/os	none-found	n-s---nn-
φευκτέον	feukte/os	none-found	n-s---nv-
φευκτέον	feukte/os	none-found	n-s---na-
φύσας	fu/sas	none-found	v-sapamn-
φύσας	fu/sas	none-found	v-sapamv-
χλωροῖς	xlwre/w	none-found	v2spoa---
χάρμα	xa/rmhs	none-found	n-d---mn-
χάρμα	xa/rmhs	none-found	n-d---mv-
χάρμα	xa/rmhs	none-found	n-d---ma-
χάρμα	xa/rmhs	none-found	n-s---mv-
χάρμα	xa/rmhs	none-found	n-s---mg-
χάρμα	xa/rmhs	none-found	n-s---mn-
ἀλκαίου	a)lkai=on	none-found	n-s---ng-
ἀμβολάς	a)mbolh/	none-found	n-p---fa-
ἀμπίσχομαι	a)mfi/-i)/sxw	none-found	v1spie---
ἀνηρόμην	a)ne/romai	none-found	v1saim---
ἀνέμων	a)nemo/w	none-found	v3piia---
ἀνέμων	a)nemo/w	none-found	v1siia---
ἀνέμων	a)nemo/w	none-found	v3piia---
ἀνέμων	a)nemo/w	none-found	v1siia---
ἀνήρου	a)ne/romai	none-found	v2saim---
ἀφιγμένον	a)fi/zw	none-found	v-srpema-
ἀφιγμένον	a)fi/zw	none-found	v-srpenn-
ἀφιγμένον	a)fi/zw	none-found	v-srpenv-
ἀφιγμένον	a)fi/zw	none-found	v-srpena-
ἀφίκεθ’	a)fi/zw	none-found	v2plia---
ἀφίκεθ’	a)fi/zw	none-found	v2prma---
ἀφίξομαι	a)fi/zw	none-found	v1sasm---
ἀφίξομαι	a)fi/zw	none-found	v1sfim---
ἀφίστασ’	a)fista/w	none-found	v1saia---
ἀφίστασ’	a)fista/w	none-found	v3saia---
ἀφίστασ’	a)fista/w	none-found	v2samm---
ἄλλου	a)/llou	none-found	d--------
Ἀερόπης	*)aero/ph	none-found	n-s---fg-
Ἀτρέα	*)atreu/s	none-found	n-s---ma-
Ἀτρέως	*)atreu/s	none-found	n-s---mg-
Ἀτρέως	*)atreu/s	none-found	n-s---mg-
Ἀτρέως	*)atreu/s	none-found	n-s---mn-
ἐθνῄσκετε	qnh/skw	none-found	v2piia---
ἐμπλήσαιμί	e)mpi/plhmi	none-found	v1saoa---
ἐπελάθοντο	e)pilanqa/nomai	none-found	v3paim---
ἐπελάθοντο	e)pilanqa/nomai	none-found	v3piie---
ἐπεσβατῶν	ei)s-bate/w	none-found	v-sppamn-
ἐπέλασ’	e)faire/omai	none-found	v-sapafn-
ἐπέλασ’	e)faire/omai	none-found	v-sapafv-
ἐπέλασ’	e)faire/omai	none-found	v-papamd-
ἐπέλασ’	e)faire/omai	none-found	v-papand-
ἐπέλασ’	e)faire/omai	none-found	v-papafn-
ἐπέλασ’	e)faire/omai	none-found	v-papafv-
ἐπέτασα	peta/zw	none-found	v1saia---
ἐπίσχες	e)pw/xato	none-found	v2saia---
ἐπίσχετ’	e)pw/xato	none-found	v2pama---
ἐπίσχετ’	e)pw/xato	none-found	v3saim---
ἐπίσχετ’	e)pw/xato	none-found	v2paia---
ἐρεῖ	e)ra/omai	none-found	v2spie---
ἐρεῖ	e)re/omai	none-found	v2spie---
ἐρρεῖτο	r(e/omai	none-found	v3siie---
ἐσώθην	sw/zw	none-found	v3paip---
ἐσώθην	sw/zw	none-found	v1saip---
ἐσώθης	sw/zw	none-found	v2saip---
ἐσῴζομεν	sw/zw	none-found	v1piia---
ἐτῶν	e)/tai	none-found	n-p---mg-
ἐφεξῆς	e)pw/xato	none-found	v2sfia---
ἔθανες	qnh/skw	none-found	v2saia---
ἔθανον	qnh/skw	none-found	v3paia---
ἔθανον	qnh/skw	none-found	v1saia---
ἔμπνουν	e)/mpnous	none-found	n-s---ma-
ἔμπνουν	e)/mpnous	none-found	n-s---fa-
ἔμπνουν	e)/mpnous	none-found	n-s---nn-
ἔμπνουν	e)/mpnous	none-found	n-s---nv-
ἔμπνουν	e)/mpnous	none-found	n-s---na-
ἔξω	e)/ssomai	none-found	v2saie---
ἔργοισιν	e)/rgnumi	none-found	v-pppamd-
ἔργοισιν	e)/rgnumi	none-found	v-pppand-
ἔργον	e)/rgnumi	none-found	v-sppamv-
ἔργον	e)/rgnumi	none-found	v-sppann-
ἔργον	e)/rgnumi	none-found	v-sppanv-
ἔργον	e)/rgnumi	none-found	v-sppana-
ἔργου	e)/rgnumi	none-found	v2siie---
ἔσῳζον	sw/zw	none-found	v3piia---
ἔσῳζον	sw/zw	none-found	v1siia---
Ἑρμιόναν	*(ermio/nh	none-found	n-s---fa-
Ἑρμιόνης	*(ermio/nh	none-found	n-s---fg-
Ἕλενος	*(/elenos	none-found	n-s---mn-
Ἕλλην	*(/ellh	none-found	n-s---fa-
ἡδονάν	h(dona/	none-found	n-s---fa-
ἡδονῆς	h(dona/	none-found	n-s---fg-
ἰδεῖν	i)de/w	none-found	v--pna---
ἵει	i(e/w	none-found	v3siia---
ἵει	i(e/w	none-found	v2spma---
ἵει	i(e/w	none-found	v3siia---
ὀνήσομαι	o)ne/omai	none-found	v1sase---
ὀνήσομαι	o)ne/omai	none-found	v1sfie---
Ὀρεία	*)orei/h	none-found	n-d---fn-
Ὀρεία	*)orei/h	none-found	n-d---fv-
Ὀρεία	*)orei/h	none-found	n-d---fa-
Ὀρεία	*)orei/h	none-found	n-s---fn-
Ὀρεία	*)orei/h	none-found	n-s---fv-
ὑπερθνῄσκοντας	u(perqnh/skw	none-found	v-pppama-
ὑποστρώσω	u(po/-sto/rennumi	none-found	v1sasa---
ὑποστρώσω	u(po/-sto/rennumi	none-found	v1sfia---
ὑποστρώσω	u(po/-sto/rennumi	none-found	v2saim---
ὤθει	o)qe/w	none-found	v3siia---
